result.1,result.2,result.3,result.4,result.5,result.6,result.7,result.8,result.9,result.10,result.11,result.12,result.13,result.14,result.15,result.16,result.17,result.18,result.19,result.20
1,0.997661801958336,0.99978243377165,0.999297475276218,0.998347241810638,0.99899066984436,0.999431280798885,0.999850951245206,0.999534786600175,0.999614242998651,0.999057598419412,0.998413790946589,0.999236127183818,0.998918944560464,0.999623392577422,0.999054659139436,0.998488861087997,0.997953400811221,0.997389725778582,0.999465132275033
1,1,0.997926094439887,0.998411728168163,0.998893192292027,0.998241995916059,0.997282072261388,0.997605494288694,0.99810313505197,0.998483247908318,0.997431336807063,0.996400941998892,0.996978424404614,0.996763363200024,0.998200541328499,0.996650675124798,0.996254518795771,0.999860091772517,0.999667460269099,0.998278536033005
1,0.997661801958336,1,0.999684132865519,0.998812760660929,0.999245669691235,0.999571937404777,0.999921187704094,0.999920711120792,0.999920678011638,0.999584225095255,0.998712348471543,0.99948179654721,0.998829079018514,0.999660185193725,0.999182988267599,0.998633531876762,0.998094532885353,0.997690166401225,0.999682763216003
1,1,0.99978243377165,1,0.99928847821478,0.999562159636615,0.998947020823737,0.999289215102597,1,0.999841560657883,0.999196190743472,0.998077186014409,0.998774009064759,0.998433411075501,0.999501555151734,0.99840086052155,0.998003566097678,0.998560850880764,0.998334052969311,0.999841414474716
1,0.997661801958336,0.997926094439887,0.999297475276218,1,0.999315507561675,0.998225701633596,0.998498078491557,0.999129961417007,0.999048037132464,0.998470246842875,0.997364581514454,0.997973073495063,0.99763025970837,0.998492370838665,0.997441443299073,0.997198154225681,0.999183388186815,0.998966416247375,0.999366026925208
1,1,1,0.998411728168163,0.998347241810638,1,0.998639036632677,0.998823380024668,0.999561580197437,0.999323923033995,0.999098579302995,0.997927596444401,0.998816440530666,0.998213127361848,0.999094029445309,0.998090847752339,0.997846958523678,0.998748973757504,0.998216451819725,0.999719234205183
1,0.997661801958336,0.99978243377165,0.999684132865519,0.998893192292027,0.99899066984436,1,0.999499759404661,0.9991038838951,0.999254842584228,0.999682904238622,0.999288615353565,0.999420089552076,0.999156173239383,0.998853788860561,0.99984182386997,0.999207257154997,0.997814763897124,0.997196563627237,0.999094154101652
1,1,0.997926094439887,1,0.998812760660929,0.998241995916059,0.999431280798885,1,0.999524139060115,0.999604046729812,0.999265492355891,0.998780659668164,0.999376648899841,0.998978462595981,0.999404468943279,0.999103839462412,0.998698893961778,0.997828246437363,0.997242680967914,0.999444472333073
1,0.997661801958336,1,0.999297475276218,0.99928847821478,0.999245669691235,0.997282072261388,0.999850951245206,1,1,0.999433085071561,0.998156981707607,0.999008508549703,0.998431911011091,0.999599981051255,0.998643459547214,0.998156929813538,0.998181864180739,0.998017694196556,0.999841106043373
1,1,0.99978243377165,0.998411728168163,1,0.999562159636615,0.999571937404777,0.997605494288694,0.999534786600175,1,0.999503812081903,0.998306228820925,0.999087355228567,0.998516457853619,0.999739154921809,0.99870933904326,0.998230212341776,0.998344090898833,0.998311836351956,0.999841761407911
1,0.997661801958336,0.997926094439887,0.999684132865519,0.998347241810638,0.999315507561675,0.998947020823737,0.999921187704094,0.99810313505197,0.999614242998651,1,0.99872642702687,0.99907701859184,0.998519084412771,0.999019776342677,0.999285472637753,0.998729603028367,0.997871298152723,0.997381666585996,0.999413743298756
1,1,1,1,0.998893192292027,1,0.998225701633596,0.999289215102597,0.999920711120792,0.998483247908318,0.999057598419412,1,0.999422234329153,0.999780804969302,0.997916577315659,0.999445287589056,0.999920663266159,0.99680968353457,0.996713409878495,0.997974976364498
1,0.997661801958336,0.99978243377165,0.999297475276218,0.998812760660929,0.99899066984436,0.998639036632677,0.998498078491557,1,0.999920678011638,0.997431336807063,0.998413790946589,1,0.999710817546793,0.999087120905384,0.999498773054548,0.999419961562514,0.997291180490045,0.996953606076089,0.998926795468724
1,1,0.997926094439887,0.998411728168163,0.99928847821478,0.998241995916059,1,0.998823380024668,0.999129961417007,0.999841560657883,0.999584225095255,0.996400941998892,0.999236127183818,1,0.998187023741201,0.999232857368415,0.999860578635078,0.997128865990212,0.996863249866934,0.99826298157755
1,0.997661801958336,1,0.999684132865519,1,0.999245669691235,0.999431280798885,0.999499759404661,0.999561580197437,0.999048037132464,0.999196190743472,0.998712348471543,0.996978424404614,0.998918944560464,1,0.998397098871957,0.997684038839885,0.998345326656648,0.997870489813432,0.99937241581979
1,1,0.99978243377165,1,0.998347241810638,0.999562159636615,0.997282072261388,1,0.9991038838951,0.999323923033995,0.998470246842875,0.998077186014409,0.99948179654721,0.996763363200024,0.999623392577422,1,0.999285695828799,0.997047941291535,0.996418179866003,0.998619863729159
1,0.997661801958336,0.997926094439887,0.999297475276218,0.998893192292027,0.999315507561675,0.999571937404777,0.999850951245206,0.999524139060115,0.999254842584228,0.999098579302995,0.997364581514454,0.998774009064759,0.998829079018514,0.998200541328499,0.999054659139436,1,0.996645702514998,0.996345916277876,0.997974493057694
1,1,1,0.998411728168163,0.998812760660929,1,0.998947020823737,0.997605494288694,1,0.999604046729812,0.999682904238622,0.997927596444401,0.997973073495063,0.998433411075501,0.999660185193725,0.996650675124798,0.998488861087997,1,0.999598442585577,0.998479105214789
1,0.997661801958336,0.99978243377165,0.999684132865519,0.99928847821478,0.99899066984436,0.998225701633596,0.999921187704094,0.999534786600175,1,0.999265492355891,0.999288615353565,0.998816440530666,0.99763025970837,0.999501555151734,0.999182988267599,0.996254518795771,0.997953400811221,1,0.998350143707493
1,1,0.997926094439887,1,1,0.998241995916059,0.998639036632677,0.999289215102597,0.99810313505197,1,0.999433085071561,0.998780659668164,0.999420089552076,0.998213127361848,0.998492370838665,0.99840086052155,0.998633531876762,0.999860091772517,0.997389725778582,1
